time_intervals,cerealia,cyperaceae,poeceae ,trees,crops,herbaceous_plants
-2700 to -2601,0,0.005997001,0.013493253,0.941529235,0.00149925,0.002998501
-2700 to -2601,0,0.002816901,0.035211268,0.929577465,0,0.001408451
-2700 to -2601,0,0.060606061,0.045454545,0.757575758,0,0.005050505
-2700 to -2601,0,0.001297578,0.006920415,0.964532872,0,0
-2700 to -2601,0.000527675,0.062055357,0.096916034,0.518430105,0.001583026,0.009785676
-2700 to -2601,0,0.002228606,0.026023607,0.816619164,0.000520047,0.001254595
-2700 to -2601,0,0.048563611,0.006839945,0.893296854,0.000683995,0.000683995
-2700 to -2601,0.002565418,0.073370959,0.108260646,0.581323756,0.005130836,0.033350436
-2700 to -2601,0,0.002570694,0.008997429,0.862467866,0.001285347,0
-2700 to -2601,0,0.034246575,0.030821918,0.796232877,0.003424658,0.003424658
-2700 to -2601,0.002506266,0.068922306,0.140350877,0.439849624,0.002506266,0.100250627
-2700 to -2601,0,0.03968254,0.011904762,0.765873016,0,0
-2700 to -2601,0.001552795,0.320908903,0.038726708,0.121149068,0.001333333,0.01021118
-2700 to -2601,0,0.116150862,0.13016542,0.429483472,0.005902067,0.003442167
-2700 to -2601,0,0.068554744,0.228488973,0.520943163,0.029050057,0.026308206
-2600 to -2501,0,0.000107298,0.001030065,0.068370566,0.000107298,0.000128758
-2600 to -2501,0,0.008196721,0.067213115,0.666393443,0.021311475,0.068852459
-2600 to -2501,0,0.022670025,0.002518892,0.914357683,0,0.002518892
